run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
5703b55e-4c8b-423b-b374-e6b4422cd8eb,,2.305375,0.0003068,279,122,401,1.0
51793fe6-4a0a-4994-9e89-1eabb44959f9,,2.19157,0.0002568,246,99,345,1.0
3c4ebbba-61ad-4a06-9e8e-e89b5f39cbeb,,3.502368,0.0003668,277,160,437,1.0
ec510f7f-f034-482a-9223-cb2768760f30,,2.797471,0.0003036,279,120,399,1.0
01aa060b-aa0d-4bb2-b337-f6c7a36f1136,,2.494698,0.0002616,250,101,351,1.0
f12e2d7d-f119-454a-a3d8-40d8e0c12dd5,,2.124543,0.0002412,263,85,348,1.0
39266c48-daef-4e64-b124-99173ce747a5,,1.920859,0.0002508,307,80,387,1.0
ccc4721d-f31a-4676-aa84-944ce78de7fc,,2.792353,0.000308,266,126,392,1.0
cd21fd70-c1d3-4572-8c1d-c4313b383a16,,2.910402,0.000394,273,178,451,1.0
00ccb303-2bbf-4654-98b5-4c9181f6211a,,4.669055,0.000516,294,249,543,1.0
1e209c6e-d3b5-4ab5-a5ce-cb5b7f6e8dd0,,5.687818,0.0003676,275,161,436,1.0
f414e60b-60c2-41d9-94d2-0fb8e9800403,,2.101085,0.0002764,275,104,379,1.0
48524b6e-f628-4641-ac4f-5e2b7443843d,,1.862383,0.0002584,282,91,373,1.0
fcca4fdb-26e9-44f9-862e-b29ae811b19d,,2.315814,0.0002848,292,105,397,1.0
04340c07-9f61-4381-823f-7f5355059199,,1.935769,0.0002584,270,94,364,1.0
c0fe3c68-9e52-4b7c-b65c-6c26cec6fc37,,2.598738,0.0003308,295,133,428,1.0
e5c7df29-bdd1-4f0f-ab33-838e36c4b3c9,,3.74755,0.0004064,292,181,473,1.0
a945d5a1-4f5f-49b1-9ebf-b903a4918dce,,4.09181,0.0003944,298,172,470,1.0
7be748f5-03ab-470c-a019-b4ea423fc863,,3.929667,0.000396,262,182,444,1.0
7bee96a5-b6e2-4cf3-94c1-af5205be0e97,,2.555331,0.0002488,250,93,343,1.0
b93377f0-e0a3-4fb1-944e-f2372090ed50,,2.210326,0.0002616,266,97,363,1.0
7fc6a5c6-5897-4e41-afe6-518b4d87984f,,4.48636,0.0003924,277,176,453,1.0
0e9c611c-6531-4b14-9149-de7a4d2c77d6,,3.787479,0.0004272,256,203,459,1.0
e36f7d4e-0b9f-4580-ba5f-fba79bd74a94,,3.075285,0.0002956,295,111,406,1.0
37106dbc-78ba-4d7d-9fb0-8f0f78793f3d,,5.708157,0.0006048,272,310,582,1.0
