run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
bdf0f15a-5fca-473e-b419-a762ad25d2b4,,,0.0000892,223,0,223,
1fef07bc-e584-40d6-93df-806a30c402f4,,2.824402,0.0002312,290,72,362,1.0
fac2038f-4965-470c-a169-ed49a52bfe42,,3.274776,0.0002148,289,62,351,1.0
57ab024c-8d9a-4586-81df-de082f38b18c,,1.56648,0.0002284,307,66,373,1.0
e5c37a9b-c372-4b04-8a63-a9d943dbb895,,2.866024,0.0003216,320,121,441,1.0
47b2e088-4e97-496a-b9ef-32d8870534c0,,1.119646,0.0002044,319,48,367,1.0
04caf97b-ebd0-4513-ac5e-d61bc6a34c89,,2.561201,0.0003012,317,109,426,1.0
276a617a-d93e-4a7b-9667-536a5c6ed4e6,,1.42209,0.0002392,302,74,376,1.0
409f51e3-0c4c-48fe-9239-4f5f5f2cba84,,2.391644,0.0002708,309,92,401,1.0
615772c7-0990-4bc1-8849-bf71bbc398ea,,4.935799,0.0005948,323,291,614,1.0
1d1837e0-74b6-45b4-acbe-06d47a68ceb4,,2.794657,0.0003684,325,149,474,1.0
49f18003-d740-4bef-92dd-5938f43f8140,,5.451774,0.000448,336,196,532,1.0
7d34cefd-a0fb-4f72-99ca-67f3bd6a2372,,2.262204,0.0002884,313,102,415,1.0
ae10a24e-ebb4-4f15-811f-43ffab3ecf0b,,5.896141,0.0005832,350,277,627,1.0
83b08038-f6ad-4428-901c-4fea80956183,,2.650877,0.0003076,305,116,421,1.0
f5b18d57-a9cf-4144-bbdb-989e1044a559,,2.749066,0.0003496,314,140,454,1.0
ee56e148-2743-4afd-a12a-e8cdeeeeafb5,,2.313766,0.0003008,364,97,461,1.0
f8640090-74ae-4bf7-b067-a069e3baf46a,,3.142462,0.0002904,298,107,405,1.0
5db0e7c7-f435-49a6-a43e-97255c6a6ca8,,2.044217,0.0002444,311,75,386,1.0
5cff2121-4610-457d-ae9b-c1ffa64b6680,,2.405796,0.0002492,291,83,374,1.0
5799c888-760d-44e7-b10a-8d79626c3702,,3.908459,0.0003492,305,142,447,1.0
73dd0b3e-7ab7-4c35-aea0-c371b532ca94,,2.164323,0.0002992,324,106,430,1.0
4b9e3326-6b1c-458f-b98c-94bb638e84ee,,3.152948,0.0003296,308,129,437,1.0
13ddd910-2c5e-4af7-8a84-fc10302715a7,,2.729204,0.0002896,328,99,427,0.0
b105ee55-221b-4819-889d-c5a0b48efdcf,,1.122256,0.00019,331,36,367,1.0
c495f2a5-4c6e-4ff0-82ba-e341fbb2cbb0,,2.58273,0.0002424,314,73,387,1.0
72af47aa-04c3-4fc0-938a-60eef90bebdf,,2.583007,0.0002228,289,67,356,1.0
7fbc1681-f497-408f-8b0d-0f3dc1d38c78,,5.231969,0.0002884,313,102,415,1.0
449f49f6-c0b0-468c-af9e-8c31d6bb612a,,4.976256,0.0002844,303,102,405,1.0
54c60b39-3f9a-4d55-a02c-68bcc2cc899b,,4.486508,0.0003224,294,128,422,1.0
050aef39-dc5b-440a-aa5c-5d90aa1d3080,,1.811384,0.0002208,288,66,354,1.0
87e7cf08-86a9-41bf-b709-8ab49b223073,,2.475922,0.0002876,331,97,428,1.0
910a156d-6779-4b69-a39e-e70a673cbefd,,3.369862,0.0003996,319,170,489,1.0
f8bebb2f-0561-4512-bb9e-88c1907dd493,,2.332106,0.0003088,332,110,442,1.0
c207d163-ca7c-483c-9c9b-9d9f6eb52e5c,,1.965704,0.000252,302,82,384,1.0
2dc58857-c95c-4607-8521-a4cb7a7739e2,,1.877532,0.0002644,305,89,394,1.0
a81b54b5-ee64-47ef-bc2b-3b01aafb1a66,,2.246436,0.0002392,322,69,391,1.0
2cf05d89-48da-4a0b-aebd-e28a9f749724,,2.74701,0.00031,291,121,412,1.0
c4d15cf2-8ad4-4153-b585-c13f89af8d2c,,2.334011,0.0002728,322,90,412,1.0
db13dad2-c6e8-4573-a8c3-bcc976286aac,,2.79055,0.00033,317,127,444,1.0
627ecfa8-2028-4062-bb45-28d803b1d6dd,,2.54811,0.0002556,295,86,381,1.0
eaf7a28f-c4ef-406d-9ac3-48fa80e92d72,,2.244382,0.0002656,312,88,400,1.0
61fc08f1-c405-4fce-bb8b-3bbd25a21b13,,3.297837,0.0003992,362,159,521,1.0
89203a79-9ee7-4b79-9ab4-6a6bf5895a50,,2.205448,0.0002484,285,84,369,1.0
9f9c8abf-ed4d-4701-981f-6e9b8a26816f,,4.671814,0.0003448,306,139,445,1.0
ee7aa1bc-6b49-4f51-9609-84c1f8ecdf00,,3.153958,0.0003704,314,153,467,1.0
3235557e-f558-473e-b077-9d3baa241452,,2.895635,0.0002832,312,99,411,1.0
7d482c59-5e9f-4366-89c7-2c105d22ab91,,1.990031,0.0002564,309,83,392,1.0
087acdd2-cc87-4d79-b77a-3f4b913e6b5e,,3.115813,0.0003376,304,135,439,1.0
52fb36dc-35b1-4743-b66f-c0da36adccfe,,3.829148,0.0004088,322,175,497,1.0
46de5134-11a8-4c42-920e-e731c3eabdbd,,2.716578,0.0002592,312,84,396,1.0
b6194cdd-11b6-4c08-9ede-d6736546e32e,,2.087935,0.0002836,297,103,400,1.0
a961350f-c33c-45aa-a860-af1744cf4618,,2.659071,0.0002308,285,73,358,1.0
de52ef7b-cd14-4bcf-a731-a322988322ca,,1.933474,0.0002396,287,78,365,1.0
ca728094-e200-4d2f-ac07-e009d5824e16,,2.074661,0.0002608,312,85,397,1.0
9eead6d1-d4aa-4831-a87f-4759909202c4,,7.480225,0.0006212,329,306,635,1.0
2323e1f0-284a-493a-957b-44f31d8f9e97,,2.267287,0.0002212,317,59,376,1.0
88e052a7-c635-43a1-9a0f-16d7697d8e8b,,2.662199,0.0002812,335,92,427,1.0
2316b19f-98f8-43d7-8cd3-287b06e9e407,,1.738735,0.0002356,285,76,361,1.0
1a6a9f96-0094-4783-91e5-a04b118f7662,,15.526383,0.0003168,304,122,426,1.0
9a03c3d1-6506-4b1d-b6f4-9a9240a86a52,,3.82325,0.0003864,314,163,477,1.0
c9934429-8276-48ba-8a76-80cbf24c7383,,2.961985,0.0002512,300,82,382,1.0
52dfbee1-df09-4037-922a-303481de57d3,,2.04695,0.0002564,305,84,389,1.0
f9b0b2c2-4c4d-4955-a14f-566258ae0eab,,3.33523,0.000268,294,94,388,1.0
79ee15cf-900d-4b71-beef-fc3663f21cd4,,1.605844,0.0002412,315,72,387,1.0
9d639e25-0d3d-4502-a4c6-66a801249cf8,,1.128978,0.0001812,329,31,360,1.0
ffac74ea-c7b9-40db-aba1-e229cfe51875,,3.231372,0.0003536,312,143,455,1.0
81903d0a-3162-4fc8-90ac-9c796d50bb0e,,3.850391,0.000328,296,131,427,1.0
b1005e3b-6815-4c0b-b87a-3aaf0804126c,,1.997981,0.0002292,289,71,360,1.0
df4230f1-5004-472f-8314-868db1145473,,1.819364,0.0002688,320,88,408,1.0
3b6eac48-0d6c-4c01-b849-a38abf54c3bd,,3.787555,0.000352,304,144,448,1.0
9e7b8ae2-cec7-4eac-9128-834a0b26e7e9,,3.534539,0.0003424,324,133,457,1.0
76736342-1271-4193-a55b-a93d320fe270,,2.284119,0.0002964,313,107,420,1.0
bfc00cf5-84ae-4f60-8c3e-62cd32d5f496,,2.012973,0.0002276,297,68,365,1.0
1340715b-096a-4b7d-9586-8796992be85f,,4.797008,0.00031,323,113,436,1.0
47dcafd9-7285-4581-b10d-a473154ba775,,2.092326,0.0002368,292,75,367,1.0
8cdde1c0-1a25-4535-8a5f-0fead2125cd2,,2.346715,0.0002956,339,100,439,1.0
4d39132e-deed-4930-84c0-f8fd4d0d7060,,4.296632,0.0005152,368,230,598,1.0
6bd5dde2-b9d8-471f-bd2f-07684cc5b219,,3.793192,0.000346,305,140,445,1.0
edd58ba7-f57d-4b9e-a83f-69734be01a21,,4.188912,0.0004372,365,182,547,1.0
86afd30c-4748-4a7c-95f4-850438ce5dd5,,2.043298,0.0002496,284,85,369,1.0
ae9a441a-805c-4f9f-a129-5681ebe0348c,,1.571155,0.0002196,297,63,360,1.0
b594696e-d197-42ec-9946-adfedfb87ec0,,2.00363,0.0002848,324,97,421,1.0
e96d80e5-dfc9-4bcb-84bb-37737a41c9ec,,3.113518,0.0003336,322,128,450,1.0
979a4521-5a98-4181-8989-200bb1c446b0,,2.290501,0.0003016,310,111,421,1.0
dabb0c8b-e838-4092-9feb-22b6f00e56ac,,2.773185,0.0003604,309,148,457,1.0
574a11e7-28ad-4cd0-8fed-6fc26529b1fa,,3.905355,0.0003472,332,134,466,1.0
c3feeee0-e0e0-44a8-b989-7362ca92a5bd,,7.287605,0.0004344,306,195,501,1.0
33843c9a-3471-4aad-97b2-5545a9b755e7,,1.597535,0.0002428,319,72,391,1.0
e3f4305e-5f5e-46e9-80a6-6c9258fe5914,,1.079133,0.0001788,315,33,348,1.0
dbd268a0-d6ca-4031-b29e-f85478a77407,,1.838318,0.0002368,320,68,388,1.0
f3634c0b-b4a9-489a-9c13-cec1729b53de,,1.872864,0.0002252,303,65,368,1.0
1c3e315e-c11e-4303-a678-417945fdf222,,2.156647,0.0002536,318,79,397,1.0
67177e40-3227-43cc-8f70-79e3ae0aab6f,,3.961378,0.0002676,313,89,402,1.0
d4a73228-2f97-46e3-939d-81571e15c981,,3.503836,0.0003816,310,161,471,1.0
69db20d6-ea78-4eef-9397-6fcde1fc685b,,1.325537,0.0002008,302,50,352,1.0
f94576d5-3591-4afa-be19-c726b5cd7d4a,,2.657707,0.0003624,310,149,459,1.0
efd73d5c-85d6-45e0-86f3-f2cc42b77c28,,3.384583,0.0003712,300,157,457,1.0
415c37bc-038b-4cde-ae34-79ca882ce117,,2.484934,0.0003564,311,145,456,1.0
76504435-1c89-4d57-bbbb-a62b5f9fa804,,2.305757,0.0003236,321,122,443,1.0
bc74ff14-4741-4912-b90b-4721ed92eb70,,3.385911,0.0004776,350,211,561,1.0
f4d7c309-a381-4bc5-bf4a-c24e8dac1f0b,,2.248519,0.0002208,296,64,360,1.0
