run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
de612c54-9980-4a1f-b37d-fccf4b43c169,,2.366525,0.0003244,427,96,523,1.0
d23a2924-067c-4f9f-b8ac-83c48bba20f2,,2.361502,0.0003744,564,93,657,1.0
21fd0036-4621-41f2-a093-7c7e8dc7eea3,,3.063299,0.0003536,344,135,479,0.0
8f25e12b-c145-4d0d-a7ce-d4ba009efcfe,,3.369537,0.000342,379,119,498,0.0
9bd4c37b-ccf2-4c01-b7f7-ee983fd70664,,3.787202,0.0003356,427,103,530,0.0
8db9542e-3c25-4f29-a25a-6576fdf6bc43,,1.14622,0.0001964,375,29,404,1.0
0dcbbbeb-f6a7-4f19-9e8b-c8e9bf7b1cd9,,1.822923,0.0003556,537,88,625,1.0
540829c8-c012-4d79-9675-c97369c32b7a,,4.107648,0.0004984,634,153,787,1.0
55e31a5d-9594-41a0-8edf-b423f4bfe444,,2.654552,0.0002828,383,81,464,1.0
2ad3cdf1-81ed-4537-9253-1bca403a90b6,,3.675907,0.0003164,407,96,503,1.0
f35ce734-0980-4374-b67f-584e45aee277,,2.764349,0.00037,469,114,583,1.0
3dfa30ac-74a3-4a12-9f44-2be6c7d78cc8,,2.652945,0.000378,489,114,603,1.0
2c7ad430-5ac1-484c-b82a-08e601948038,,3.220182,0.0004056,458,139,597,1.0
f990ce9d-a804-4e08-a02f-30ec912919af,,3.431569,0.0003692,439,121,560,1.0
b415945c-1a72-4b37-8f97-95e34a6ca164,,2.658484,0.0003432,478,95,573,0.0
e2889ae4-de6b-4f5c-9448-3e4e72b3cdf7,,2.485493,0.0003236,389,105,494,1.0
8191375e-1cff-472f-857a-fd43999e9f5a,,1.548995,0.000324,622,47,669,1.0
8c39434f-67bd-4a9a-bc52-faab72c6f360,,1.79164,0.000218,341,51,392,1.0
1a41c77e-2910-4078-8bb3-5f7b2718f28e,,1.545625,0.0002252,371,48,419,1.0
3038cae4-a64f-4b45-ac84-1ef9511af268,,2.288639,0.0003028,361,99,460,1.0
a840835e-e5a3-48a9-88df-0f87979e4ee0,,1.861881,0.0003764,769,43,812,0.0
a8439fa1-fde1-4d0c-a9f9-6096888bc8b9,,2.639783,0.0004504,618,127,745,0.0
c64e29d8-f398-4b00-b08a-30b079e7758d,,3.95135,0.0003796,389,140,529,1.0
7716b780-78e1-40f6-9bfb-0fe1f2cee7be,,1.361872,0.0003172,617,44,661,1.0
ac203fa2-7ac9-4dd5-bc65-485e6f57cc0c,,2.311635,0.0003072,408,90,498,1.0
8dfc6c78-d972-4c46-a8a7-5fc1fe127d73,,1.268653,0.0003104,576,50,626,1.0
131006bd-a8ee-4c81-a4c6-665f0ce91d31,,2.550361,0.0004092,599,106,705,1.0
0195638a-2178-419f-9a41-3665bb82e9d0,,3.353581,0.0003808,368,146,514,1.0
c65cdc3d-3d8f-412a-8952-f926cec9fda5,,1.284078,0.0002064,380,34,414,1.0
e916b801-ba0f-495c-ab36-edf98cc59a3e,,2.267675,0.000374,563,93,656,1.0
0f40378d-d286-4d80-bdd8-009580c8b226,,2.999652,0.0004,488,128,616,1.0
df43efb0-3879-477b-bf25-7b96d76ffd64,,2.41399,0.0002908,347,95,442,1.0
993a3c73-6f9b-4916-84e0-e613b47db8d4,,1.783288,0.0003096,502,68,570,1.0
9fd95df1-f02e-42d1-8777-9d8b8a5df438,,1.181086,0.0002096,376,37,413,1.0
20be6174-0df1-41d6-b74c-45ab0fe08256,,1.310755,0.0002092,359,41,400,1.0
c5dfad8a-41aa-401e-8db6-db674d84e9ff,,2.273729,0.0003116,439,85,524,1.0
94cfe7a8-e417-4807-858c-21c76add09b2,,4.691968,0.0003532,363,130,493,1.0
5e2bf85a-998c-45e6-b885-7810880b4d1d,,3.278219,0.0002916,429,75,504,0.0
