run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
02a9d290-5000-4d71-9e91-2eca7c09159a,,3.097881,0.0004784,616,145,761,1.0
4321ec85-5220-4ed2-8509-6f0fdc3a9e73,,2.489153,0.0003992,582,104,686,1.0
fae6f498-7e52-4c31-8d14-1a7a962c370d,,3.064152,0.0004936,614,155,769,1.0
4c9d6b77-e850-4f2b-997b-406d98925414,,2.764158,0.0004704,616,140,756,0.0
83d855b0-8f54-4808-a19f-2594deb728c0,,3.345884,0.0004408,586,129,715,1.0
7d2887e1-f0d8-4024-b19c-cb0322a266b7,,2.409953,0.0003936,600,96,696,1.0
49c73b3b-002e-44d6-9fd5-f0f3f06c511e,,3.502322,0.00055,643,183,826,1.0
69f604d4-517e-4177-8365-78c5d952d55c,,2.743053,0.0004716,603,144,747,1.0
36625eb0-bf9e-42d2-a663-b142bd1496d9,,3.338075,0.0005912,610,217,827,1.0
6801298d-53a6-46cc-b71f-80da05461330,,3.991003,0.0005608,630,193,823,1.0
7b4ea500-da73-4907-bae6-1940ec96239a,,4.49388,0.0005472,612,189,801,1.0
ac0f25d8-e3ba-4845-b653-d5cafe8530c8,,2.864922,0.0004652,611,138,749,1.0
75a2a07c-689d-40f5-be34-37e1d23a384e,,2.999712,0.0005068,619,162,781,1.0
cfb86e6c-df9e-410f-ba13-fc94384c938e,,4.558601,0.0005732,629,201,830,1.0
89e1c7c9-c53a-44b1-b5e7-c81754cf65b6,,2.671,0.000454,607,132,739,1.0
58b0b2b5-62e2-4d09-8d29-4c4702bbb3c4,,3.477437,0.0005616,632,193,825,1.0
22ca06d7-e358-46f3-84cb-b6c1bd5a9b7a,,2.601998,0.000528,628,173,801,1.0
2c9c8316-5a24-4116-ac9b-9caf87d73ced,,7.624016,0.000886,635,395,1030,1.0
282e8af7-ca07-4465-a5b7-cc5122005f7c,,5.178485,0.0004636,599,140,739,1.0
d3693df2-3947-4166-b6ef-d9e128d113e5,,2.110913,0.0003948,587,100,687,1.0
dbcd6d32-12ea-4dc7-9926-cfc615995a1b,,2.637337,0.0004732,603,145,748,1.0
49ba6ac5-a1a7-4e47-8063-a67ede323a2a,,6.476559,0.0005592,614,196,810,1.0
a0eeb761-2e0c-4671-80a9-9933a0c51b80,,3.665974,0.0005268,593,181,774,1.0
d13b2378-80ce-43f4-b580-23af2d4b1b79,,4.707524,0.0005408,632,180,812,1.0
88878d39-3112-4f04-a7d7-79e57eb14def,,3.116801,0.0005232,608,175,783,1.0
fc27b2f8-8ca5-4478-9425-75c6b91b0abf,,3.713775,0.0006268,607,240,847,1.0
d60b3bb1-8f81-4443-8291-a3916c5953ed,,3.394379,0.0005028,609,162,771,1.0
2f38a06a-8c01-4200-9167-4ddb8aeb2ba5,,5.421883,0.0007616,624,320,944,1.0
6b81fe21-c91d-44a6-b97f-3ee7ee49d5e6,,3.323867,0.0005364,621,180,801,1.0
10b5edda-bc8c-4516-aa68-ca8ce3ca0f82,,2.599536,0.0004812,607,149,756,1.0
2755f8ad-219f-4c75-8ebf-a4d288554544,,3.686951,0.0004524,591,135,726,1.0
413dfe7e-634c-4d8c-bfb7-742e7633bbd9,,3.474756,0.0005312,632,174,806,1.0
bbae6224-55a2-40d4-8508-eee00b405dfb,,3.527394,0.00057,641,196,837,1.0
ba00f744-2fca-495b-bffe-e4ebdcfb66de,,2.045838,0.0004388,593,126,719,1.0
091367e8-a549-48a1-bc6b-eed7d336b9d0,,3.468575,0.0005652,581,208,789,1.0
ec38fc42-6e03-485d-8abe-19220a82e844,,1.994342,0.0003996,587,103,690,1.0
ec6602f0-d66c-464d-88b7-26f5bec4af6a,,3.124525,0.000582,659,199,858,1.0
ce50f8b6-0e40-4d0a-a896-be26ea614745,,1.704176,0.0003808,580,93,673,1.0
ff092941-874c-4aab-9032-f2060e1af57c,,3.982212,0.000614,623,228,851,1.0
45518167-b4c5-4382-b384-54228e7c1588,,2.865927,0.0004492,627,124,751,1.0
24fe1d34-7513-4938-a8ce-97e047731623,,4.240109,0.0006252,623,235,858,1.0
611deedc-ddf4-4a50-bad0-83682ad0c67b,,5.326299,0.0006028,623,221,844,1.0
b59896a1-71ce-4eba-8566-97c6f0320398,,6.995828,0.0006924,611,280,891,1.0
d383c41f-c77d-4adc-9aaf-6a3f70df39dd,,4.10299,0.0006088,630,223,853,1.0
6cd1e945-97e4-467b-b1e4-815322f53fa1,,2.975954,0.0004268,619,112,731,1.0
9fb12765-5c7c-47b9-8f4e-25ef34471033,,3.662436,0.0005724,599,208,807,1.0
0032ae5f-00fa-468d-91fb-389d8c0bbb90,,4.087441,0.0006244,637,231,868,1.0
3996440e-7939-46d1-b039-1f3d2b1a3474,,7.170834,0.000688,624,274,898,1.0
54abce44-6371-4634-9952-21d10de0a522,,4.651988,0.0007656,630,321,951,1.0
d0c8c04b-5d5a-4fd9-a441-dc97b5cb1952,,3.737202,0.000614,595,235,830,1.0
af62de2d-c8de-44e6-bc2c-bfaed00dc73f,,3.916325,0.0006216,630,231,861,1.0
c2509f5c-0766-40b7-8e1d-5ff55bd41370,,4.840404,0.000668,654,254,908,1.0
d4da39d4-dbf5-42fb-a077-1d750c917223,,4.469017,0.0006044,603,227,830,1.0
868df09e-37a7-4c78-9428-cb68291e1078,,3.041442,0.000442,601,126,727,1.0
9c1f441a-949c-4813-8f60-e7e08b274411,,5.849654,0.0007504,604,318,922,1.0
34dc6f03-5647-47da-8243-efb94d3268e9,,2.040716,0.0003764,581,90,671,1.0
3d4883e4-2afc-4376-ab65-7cf507e34204,,4.555723,0.0007152,660,282,942,1.0
41ea7a6b-ec3e-42e8-a9f9-2f0f19bd3b09,,4.741806,0.000496,620,155,775,1.0
