run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
b7222555-d1e4-43bd-85f9-e44869223722,,,0.0002428,607,0,607,
d45de950-c54f-45cb-838a-67f22303c7c5,,7.379066,0.0005412,629,181,810,1.0
5ad1f55d-acac-42e9-8e28-effa236cd8ea,,6.436102,0.0005464,634,183,817,1.0
fa1e0ffd-0c36-4632-bfc5-b25619fcdca8,,4.398235,0.0005072,664,151,815,1.0
365f4aaa-076c-494e-885d-b6eeab459e7e,,3.99582,0.000468,630,135,765,1.0
ead5b705-288b-4e78-8964-1ffd26e84596,,2.05487,0.0003932,663,80,743,1.0
e4c6db3a-dfa3-4605-b05b-cf726faa0627,,4.11767,0.0004924,643,147,790,1.0
5cedc6dc-fda9-47cf-bd2d-26bf08fcef65,,4.03092,0.0004828,667,135,802,1.0
21208ae2-7ef2-4eaf-8e5d-b8b2643e62f4,,5.030491,0.000616,664,219,883,0.0
72c8acd0-a010-4045-a418-7a5223f13c8d,,6.062654,0.000764,666,311,977,1.0
942e6a4f-fd47-47bf-aab9-1de326862011,,2.97035,0.000372,630,75,705,1.0
b6da09b5-780d-4318-8aae-871261f3bbfa,,1.762599,0.0004024,650,89,739,1.0
001d8a07-74a6-4cb2-899d-691cd14f9f25,,1.788912,0.000372,642,72,714,1.0
60bfa20f-9ada-4fd1-b267-d76ac24eee89,,2.651853,0.0003764,653,72,725,1.0
a1b2aaf8-a3f4-4e01-aaf9-ee76af248f0b,,2.868107,0.0004688,656,129,785,1.0
cc279037-134e-4b04-b07e-bee151188c63,,3.16207,0.000496,652,147,799,1.0
fc7b25d3-386f-46b3-a10e-587144d899c1,,2.774189,0.0003816,618,84,702,1.0
0e87cb92-a8cc-4eba-a320-f265f43b8073,,4.175776,0.0005464,642,181,823,1.0
bc97d63c-961c-4236-b4c1-adcf5fa951b9,,2.145177,0.0003824,648,77,725,1.0
5a9de8ec-c991-4986-b861-bf04c0177175,,3.004685,0.000502,659,149,808,1.0
72ee1905-4eb3-481d-aba8-6df5c3c0758f,,4.419379,0.0005212,663,160,823,1.0
e52e6ea3-39e1-41b0-ab52-db37b05db814,,2.509284,0.0004692,633,135,768,1.0
0d502a28-c507-4249-a743-0eb11d49e575,,1.63207,0.0003408,640,53,693,1.0
32a05e7f-8c7c-4e3c-8a25-526a61336ddb,,3.503419,0.0005332,657,169,826,1.0
c547fded-65f0-4093-aff8-754f227810a2,,3.547807,0.0005204,649,163,812,1.0
c3162203-dcc1-4422-9789-c7eebe021551,,3.067113,0.0003872,636,83,719,1.0
0382c9ff-501c-4c1f-9f2b-9e8c9886404d,,6.024869,0.0006904,646,270,916,0.0
5bec0341-ac42-4e82-b029-5318ff57fed0,,3.489455,0.0005044,641,155,796,1.0
bcb60bbd-14b5-4dda-930e-de2504f5f71d,,7.5412,0.0008856,674,385,1059,1.0
dfee84a4-046f-4988-ae5c-d4ffd251a369,,1.84512,0.0003748,629,77,706,1.0
b67099ea-36d9-4825-87da-d0446ad5b165,,2.014806,0.000404,658,88,746,1.0
01dfb00d-1fde-443a-80e4-95faf7b29ee1,,4.715359,0.0004744,634,138,772,1.0
e60ea66e-cfbb-495e-8b6e-a20248a073d2,,2.184573,0.000388,630,85,715,1.0
cc5ebd90-e494-40a9-9a77-a6e720def996,,2.173812,0.0004104,662,91,753,1.0
0db4188c-8425-4cbe-b22b-3a5c28a39bd1,,2.713209,0.0004696,626,137,763,1.0
a4469b95-e8fc-4f28-bfc7-e999f42c1ad8,,4.101738,0.0004788,665,133,798,1.0
c1f8d666-e943-46a9-a4b7-7aa51bee4ea4,,3.599114,0.000516,638,163,801,1.0
2b930006-57f9-47d6-8869-840fc7965f60,,2.982979,0.0004832,640,142,782,1.0
7bba9680-9141-4de6-8624-56984aac7919,,2.606475,0.0004016,636,92,728,1.0
2a0debcf-42b5-4c57-a509-cb9f1008c347,,2.381573,0.000412,682,87,769,1.0
d7d92978-8d38-4e18-a513-c0d285280188,,4.09906,0.0005072,676,148,824,1.0
badcaa18-f941-4966-b0cb-86a35191bed6,,5.942284,0.0006976,668,269,937,1.0
bfb3d44b-f65f-4531-a284-1ee41bb7233f,,3.347291,0.0004104,642,96,738,1.0
304abb88-948d-42f0-b0aa-ff791a63423b,,2.187367,0.0003756,647,73,720,1.0
a46427c9-8469-4164-9ef3-73f835f2538b,,2.363493,0.000404,630,95,725,1.0
9de25f4e-1011-4ea7-bad9-4562d2c82fbd,,5.778057,0.0007488,712,290,1002,1.0
687e0c3f-15f6-4ebb-afd7-03e69abba952,,4.530628,0.0006372,673,230,903,0.0
dafd3ae1-ffe5-4605-ba70-7717be9ddee8,,6.125154,0.0005788,647,200,847,1.0
faab0fac-6c03-46ed-b864-2e4d788653a3,,3.574026,0.0004996,649,150,799,1.0
e9a3a8c3-c9c4-4887-8771-da8a41c16cd7,,3.917156,0.0004456,642,118,760,1.0
60c33f3d-d1b2-4fd9-a2ed-a7cd2436c011,,3.407185,0.0004692,637,134,771,1.0
8aa59f03-849b-4a07-bac9-8297afd57792,,8.195663,0.000578,717,182,899,1.0
ab96319a-9211-47b7-ba0e-b827e28285da,,5.399555,0.000662,667,247,914,1.0
