run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
65afb86b-3236-4fec-b302-b2125dececb7,,2.440948,0.0004308,761,79,840,1.0
ad1a1735-12d6-443d-bcc2-40a741379ea8,,1.753375,0.000492,898,83,981,1.0
aeb7a9f2-21b7-4de1-91d1-7651a0d29752,,3.168099,0.0005256,678,159,837,1.0
e7235445-4cf9-4f12-b39f-f2fae9b76761,,2.323756,0.0004388,713,96,809,0.0
ed4a2173-996d-4907-b4a4-e93b9a369222,,2.817017,0.0005428,761,149,910,0.0
76db1db1-5b23-44b4-bf95-28aa49f4cffb,,3.462418,0.000506,709,139,848,1.0
3e2b23af-fce3-4d00-b752-0a9d4ffc6277,,2.868589,0.00055,871,126,997,1.0
7f0ae853-66b5-4522-98dc-fc8034cf228d,,3.446596,0.0006448,968,161,1129,1.0
521877de-a493-47e5-9785-1e8f4eeb922e,,1.629935,0.0003972,717,69,786,1.0
8f75efbc-8b92-4005-8488-76c1698aab3a,,2.470484,0.0004356,741,87,828,1.0
34db2d19-aefb-4db8-97c3-c34f24ea93fc,,5.390479,0.0005468,803,141,944,1.0
60c8ea69-070a-4249-9f40-420a931b3624,,2.890243,0.0006012,823,170,993,1.0
40b2443a-dab7-49c8-855b-d369740c05e5,,2.538759,0.000512,792,122,914,1.0
eda4d8a2-0f4c-48f3-99f2-f5692fccfe8a,,2.532651,0.0005332,773,140,913,1.0
d7304481-3d2f-43f4-b90b-06fe71f809e3,,2.191502,0.0004624,812,86,898,1.0
e904b308-3273-4627-8d6e-d13d7e1a2bdd,,2.109434,0.0004268,723,86,809,1.0
0f3fe041-be88-4e22-ace0-53a7d2dd3400,,2.882651,0.0005616,956,112,1068,1.0
791225cd-1698-4a6d-a526-f593de5ee7d8,,10.441771,0.0004988,675,143,818,1.0
c9eca083-4bb0-489b-9d58-9f655038c0ff,,3.274192,0.0005028,705,138,843,1.0
0e15a02a-869a-4082-a1ab-92e59e9369b3,,7.684285,0.0005612,695,177,872,0.0
86082f5e-0524-48be-bc63-949f076c8525,,3.383456,0.0006908,1103,156,1259,0.0
68d9159d-c29d-41d6-8843-70c328b2893b,,3.462056,0.0006816,952,188,1140,0.0
908833c3-f6cf-4293-b133-13199cc0912f,,5.20917,0.0005916,723,189,912,1.0
e7a26e2d-d3a1-4c0b-82f3-a1b6eef6dceb,,1.868545,0.0005212,951,88,1039,1.0
2c041064-0fc9-4743-a2e9-f4213831d917,,1.627838,0.0004168,742,75,817,1.0
e60653f7-9cb9-4679-98e3-b23b068c9fce,,1.501911,0.0004456,910,51,961,1.0
c11859a2-11ac-46f8-8b7c-444c16319a90,,2.382537,0.0005604,933,117,1050,1.0
7e794442-f556-4eb0-abed-efec4e72ddd7,,3.549458,0.0004584,702,111,813,1.0
51c4c60d-11da-45d9-9338-dd8d610bbce1,,1.949713,0.0004296,714,90,804,1.0
4878c35f-954d-4995-8f3d-deb9e820d7e0,,1.827378,0.0004916,897,83,980,1.0
2f339ea2-b2fd-4f0f-bac6-6efd49a8f83b,,3.521087,0.0006088,822,175,997,1.0
b0c54bc2-9b59-4817-9ff1-806c139605a0,,2.11731,0.000418,681,91,772,1.0
6121c4e1-0f59-4622-bfef-afa063d7cc26,,2.689804,0.0005248,836,119,955,1.0
fbdde602-cc71-46d5-8bfb-8abbb8424417,,2.021396,0.0004344,710,94,804,1.0
a3f97661-1fdf-4512-9ea1-57ce5445fb6f,,2.448267,0.000418,693,88,781,1.0
92c038c8-77d6-484a-a83c-31e241d2ab18,,3.330858,0.0004356,773,79,852,1.0
49a8bdf3-30fd-46af-8133-9e69f352f6be,,2.277284,0.000474,697,122,819,1.0
dad140c9-45e6-420b-ac7f-5f3dbba63358,,3.687982,0.000566,763,163,926,1.0
446e7030-7f8f-400b-9417-c808e4d58a14,,2.501635,0.000522,721,146,867,1.0
0b7eb66b-1b23-4ed3-9c7f-89ac572ca27c,,4.353578,0.0006348,639,237,876,1.0
a84e5cb0-b458-4179-b3f8-f3d7400f87bd,,4.052473,0.0005952,924,141,1065,1.0
6870ff5e-a0b9-48d7-aaca-20d6413579ce,,2.709158,0.0005052,671,148,819,1.0
6594e9aa-1492-4126-ae28-80d56dc280a1,,2.271438,0.0004872,746,118,864,1.0
9648a2e5-d012-4d4c-97de-b91960bc0d1d,,2.443483,0.0004252,723,85,808,1.0
39b42e57-a4f5-4cba-b0af-879d6177c170,,2.600379,0.0004664,726,110,836,1.0
0f3e44bb-19e6-4751-b1f0-4ff601c61991,,2.301666,0.0004924,743,122,865,1.0
9aa05d19-aaff-4f9b-8520-c65e66593a18,,3.928963,0.000634,769,204,973,1.0
6a488e8d-d167-47e0-8a10-525ac92eddb6,,8.050818,0.0008392,794,326,1120,0.0
2e9cf411-59bc-475d-b12a-f37a6ce085cc,,4.282143,0.0006024,674,208,882,1.0
865ea9c5-9daa-4be7-96bf-c93537e096e5,,2.734723,0.0005384,918,107,1025,1.0
897eb7ab-79be-4d54-a9ab-c68f64e448bc,,3.666514,0.00066,958,173,1131,1.0
57f21079-edcc-4d02-b9c7-7bcbbe00fae3,,2.607856,0.0004568,658,121,779,1.0
9c36d255-1cb7-40bf-aba2-dd4c72ea400e,,2.164214,0.0004036,681,82,763,1.0
