run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
4c1dbfc7-e951-4539-88bf-753f5e73f046,,2.415794,0.0003836,487,118,605,1.0
ef40558f-4a67-4017-b71f-17d15bb9055a,,1.779976,0.00029,453,68,521,1.0
8b685864-3194-494d-bdda-dc8493c63de9,,1.949505,0.0003828,485,118,603,1.0
e3f24b35-c7f2-4743-bebe-f38e7ac4be97,,2.966823,0.00043,487,147,634,0.0
c350fb42-af20-437e-b4bf-40a493bc993e,,1.647561,0.0003316,457,93,550,1.0
3e635b13-c816-4988-ad76-bb89d4a17f5e,,1.144631,0.0002572,471,43,514,1.0
d5972e6b-aaa2-42bf-8c1e-6a6488698540,,1.623004,0.00034,514,84,598,1.0
4d89f94d-1da1-4a3b-9d45-2f018658a420,,1.516713,0.000316,474,79,553,1.0
edc27c96-d99b-40a3-9c15-aad8ee5baf1d,,2.848083,0.0004052,481,133,614,1.0
cf6f8e75-e640-45b2-8866-e081994626d9,,3.140039,0.000506,501,191,692,1.0
a25ad940-a90e-4f61-882e-674afe3ab42b,,5.780368,0.0006908,483,311,794,1.0
0f111ae9-4001-4fd5-b62f-35cb4c830f99,,1.394121,0.0002952,482,64,546,1.0
4c6d149e-4e18-4365-ae00-957520d3cf49,,1.606811,0.0003432,490,92,582,1.0
f3d86a52-0959-44d5-b70d-83bd2c0f0a96,,2.133508,0.0003728,500,108,608,1.0
0411731b-0263-4166-8175-0427ce82e523,,1.50301,0.0003064,478,72,550,1.0
ab2d7848-f086-479b-aaa2-c8c3e0bfeda3,,2.42246,0.0003708,503,106,609,1.0
6ee3c2f0-fd97-41fe-8199-6cf29f0f2439,,2.395208,0.00039,499,119,618,1.0
a3bb443b-88e0-4f85-b17f-769c9ac3d323,,4.15628,0.0006328,506,269,775,1.0
b420df77-acb0-4046-b304-f940da401fba,,1.644427,0.0003256,470,86,556,1.0
b48fa319-6b3c-4ec3-81f7-3d469094f24c,,1.551543,0.0002792,458,60,518,1.0
2c559858-8b26-40cc-99de-5850ad2ee68c,,1.469871,0.0002936,474,65,539,1.0
abe72f51-c7f5-4c70-8287-6cf5b675aef1,,5.014329,0.0005716,485,236,721,1.0
651b969d-71ae-4666-8aaf-478ed70989ca,,2.846453,0.0004032,464,136,600,1.0
1919f394-d04c-4677-a3ae-7fe8eada4511,,4.31525,0.0005036,503,189,692,1.0
20eb3852-480d-4098-a75f-e0148d1c99ad,,5.80608,0.0004604,479,168,647,1.0
edbcb886-0361-48c7-a0ef-deef185db3aa,,3.54281,0.0005048,478,196,674,1.0
d1d75cae-1a8e-4ece-93a0-c4cb40fd0e9c,,4.221933,0.0005856,480,246,726,1.0
d4f196b5-018f-47f7-9ec3-9a1aabca05bb,,2.865199,0.0004332,495,147,642,1.0
1d68f0c6-5de0-49ac-8950-b02dd5dd4e89,,2.334153,0.0003712,492,109,601,1.0
06bc9282-2517-44c8-b54b-3a98832186c1,,3.541931,0.0004952,478,190,668,1.0
be178bd5-1daf-418d-ae3c-f563f8e6d21b,,3.437842,0.0005224,462,211,673,1.0
0223b7b5-b1b5-4ea8-9bee-d1aacf962a3a,,2.711487,0.0003692,503,105,608,1.0
0addfea2-9f53-49e7-b29a-a8c6bf9d57f4,,3.402703,0.00048,512,172,684,1.0
f557e4af-fa45-4b94-9257-5cf23362696c,,1.583561,0.0002976,464,70,534,1.0
efbe7981-38b7-4c26-93d9-2de11d3412c7,,1.976098,0.0002976,452,73,525,1.0
70714568-78e0-4a3a-8a3e-975c7f1d2269,,1.752533,0.0002904,458,67,525,1.0
c0a79871-fbe4-4019-b632-2818571cb13f,,2.763552,0.0004376,530,141,671,1.0
26d305c5-8196-425b-8f53-125375d85248,,1.361194,0.0002732,451,58,509,1.0
