run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
7cae78a7-5e2a-4e87-9d15-87264e76e95b,,4.110428,0.0003408,632,55,687,1.0
62f418c5-866c-42b0-921e-b861f3b83934,,1.535435,0.0004052,769,61,830,1.0
4ccfc1db-48f2-43b2-b86d-3fbb81722443,,2.758947,0.00045,549,144,693,1.0
d7fb957c-259f-423a-a2ff-45ad7abcbb84,,2.701669,0.0004256,584,120,704,0.0
67f3f607-a82e-48a2-b1d2-6f03064ff56f,,3.619913,0.0004944,632,151,783,0.0
c19aa251-6419-47b3-83df-0f7bcd369c72,,3.826535,0.0005872,580,222,802,1.0
966ee2d7-99b6-45a3-a6a3-e2f9c90cd8ec,,3.824449,0.0005816,742,178,920,1.0
5577b3cc-cede-4a23-9b64-d6f29316bea5,,2.319088,0.00051,839,109,948,1.0
a8538c5d-8a51-40e7-a014-d7780a49153d,,1.861411,0.000352,588,73,661,1.0
e3c06192-cbce-4e5a-88bb-9b36e6e9f893,,1.289318,0.0003424,612,61,673,1.0
29315b4a-d1a2-47d8-b77a-8132891bdceb,,1.967264,0.0004152,674,91,765,1.0
7204e3d7-ae8b-4597-8953-568e6998565e,,1.259021,0.0003608,694,52,746,1.0
e653467d-3cb1-4ea7-a475-c455ea867072,,2.335446,0.0004348,663,106,769,1.0
9430a781-2a66-4f1a-9db4-3f7ca9a50a9e,,3.270035,0.0004816,644,140,784,1.0
9b79e86d-4212-44b3-8ebb-1042cc64347f,,4.372849,0.000374,683,63,746,1.0
a21f1d7d-35c3-4f98-8993-f4d50b56d0fd,,1.499547,0.0003448,594,67,661,1.0
1eb4c1db-12ea-4b1a-9c2d-d915d4dc0f3f,,1.841782,0.0004412,827,69,896,1.0
b21d8b9b-9505-4258-9336-12f6cb6ba463,,4.355886,0.0005416,546,202,748,1.0
0ada4a95-0e71-4161-9c04-46b6edf09149,,3.90313,0.0004496,576,137,713,1.0
4cd0659d-3224-46b7-896b-4f6041264c37,,4.261418,0.0006056,566,237,803,0.0
de315a1c-97ed-4c8b-bfa5-235f3a22702c,,6.42026,0.000692,974,189,1163,0.0
97da63e7-ca89-4e12-acfa-3ca61d423deb,,1.527829,0.0004284,823,62,885,0.0
03c52041-666f-4a14-bf55-2414fa4156ff,,3.019855,0.0004776,594,150,744,1.0
e8c2c684-eb05-421b-8719-ae9890845dee,,3.207774,0.000524,822,122,944,1.0
f86aa14a-d556-4d0b-91a6-d81f25c082e3,,1.591036,0.0003556,613,69,682,1.0
5a351e73-b992-40b7-86f9-5f50320c8b92,,3.117225,0.0005524,781,150,931,1.0
c89953bb-a86c-4aa4-9686-f0f713a9e8b0,,2.123988,0.0004352,804,71,875,1.0
982c5215-71f9-4038-ad27-925399834974,,3.632523,0.0004548,573,141,714,1.0
7d72dde4-4987-4f10-8857-e0a6027eb0fe,,2.330294,0.000362,585,80,665,1.0
6e7a8cbe-cf93-4c85-8bdb-009ddca2d100,,2.104326,0.0004304,768,77,845,1.0
60e283a9-5fa6-4b53-b15f-87c7d805c334,,1.980888,0.000434,693,98,791,1.0
d8bb28c3-2a26-4e23-a139-06384dd28ba5,,2.887052,0.0004752,552,159,711,1.0
ffb51f75-c05e-4f2c-8e2e-99f7ec348b9f,,1.922545,0.0004284,707,91,798,1.0
4d8c1be7-0dcd-4d20-9c62-914fbc5c1bca,,1.223484,0.0003108,581,49,630,1.0
f2e50fab-6c6e-4cee-9566-021228f6438e,,2.263913,0.0003856,564,100,664,1.0
