run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
e52e335a-3216-4fd3-ab59-0bc14a869dc2,,4.953785,0.0002696,214,115,329,1.0
3ae2e2b7-c761-44af-a75c-f50e81acc771,,1.358025,0.0001684,181,60,241,1.0
6b92a24e-a934-4555-b42c-6b827182e3d6,,1.891778,0.00024,212,97,309,1.0
00d4ad27-7a41-431b-871e-e0a5e7aeb20d,,1.682485,0.0002232,214,86,300,1.0
1939cdd9-1f87-45ec-a960-61fea39451c0,,1.599204,0.0002116,185,86,271,1.0
5e005c23-3266-4dfc-8d67-887b25b2775f,,1.436927,0.0001736,198,59,257,1.0
622cbea6-0ffd-4f90-812e-0cdcd016e6b2,,1.409663,0.0002232,242,79,321,1.0
c63c9853-1d90-43a5-836d-1ad068c8d7f1,,1.611568,0.0002372,201,98,299,1.0
5efd2ae4-5bf7-4fd4-b8c4-c748c0318877,,1.973608,0.0002544,208,107,315,1.0
bc982cb1-30d9-430f-a58d-37d8f2f1a7fc,,2.454663,0.000338,229,154,383,1.0
8016ae6d-46e7-4ecd-82ef-5a0d4608de04,,2.455916,0.000244,210,100,310,1.0
7776d801-d0b5-4fb1-ad1d-1fbe803fa401,,2.266767,0.000212,210,80,290,1.0
db6f1090-4899-4bc4-8392-fb248b652b46,,2.021167,0.0002196,217,83,300,1.0
b97b2fdb-03c4-458d-a42c-b8711353bbf6,,1.786719,0.0002252,227,84,311,1.0
fa30b1ac-6488-459a-a71e-03e6d98007cc,,1.623278,0.00017,205,55,260,1.0
94cbafa4-65d3-4455-a595-3d417cc2d696,,1.698771,0.0002472,230,97,327,1.0
8a01134a-98f8-420f-a506-616981aadc01,,3.020605,0.000318,227,142,369,1.0
30c8aad2-adc1-4a34-a62d-9b898d5d1e23,,3.121231,0.00029,233,123,356,1.0
fe019939-0096-4899-ad08-d72f88a0f729,,1.691251,0.000218,197,87,284,1.0
181c0b78-5646-42bc-8c3a-8c5bf466e314,,1.373523,0.00017,185,60,245,1.0
25d455dc-88e8-4ce3-bfe5-5615c779db80,,2.338024,0.0002004,201,75,276,1.0
43e039e5-d887-434b-99e5-1e0126561f16,,2.964321,0.0002656,212,113,325,1.0
0135f4d3-e436-4e56-a55e-1183998add13,,2.691126,0.0002636,191,117,308,1.0
605255b6-b467-4b32-b660-92362e78e4cd,,1.615116,0.0002264,230,84,314,1.0
cf528fb9-3807-452b-b164-a1c971cd0bf3,,3.368999,0.0003356,207,158,365,1.0
ce0b876f-b9e9-42bb-9b6b-2bfda0325ccf,,2.023221,0.0002676,205,116,321,0.0
fff308c1-7193-4a9f-8af4-9584702b57d9,,2.105277,0.0002364,207,96,303,1.0
fa552ddb-d5dc-4087-91a4-3ae6b94c0b6d,,1.779647,0.0002872,222,124,346,0.0
c2607ec7-da3d-4c08-8518-ee4879d77453,,1.631782,0.0002432,220,97,317,1.0
c48dcaf5-651e-41e7-a6fe-725063f600f9,,1.252018,0.0001956,205,71,276,1.0
8ad11178-3b8d-43a8-a110-46274288cc86,,1.837136,0.0002216,190,91,281,1.0
8b43987d-b3cc-4675-b8f6-188d415de196,,1.938977,0.0002844,231,120,351,1.0
f5bb5656-5863-4d5f-9bbb-4501a323a993,,1.714419,0.000264,240,105,345,1.0
9fe8deb8-0cf7-484b-8190-cefe0a758a21,,1.617493,0.0001824,192,66,258,1.0
f2af933d-5d7d-4553-a0f8-1d01be6c3a25,,1.909296,0.00031,179,149,328,0.0
d8c25302-bf5a-41a6-9223-73aa6de84ef0,,1.178247,0.0001716,185,61,246,1.0
0575d307-355f-4e55-8e97-e219e6bd69fa,,2.490522,0.0003364,257,146,403,1.0
ded685de-2049-422e-a715-037566363bcd,,1.095434,0.0001576,178,54,232,1.0
e12bbb55-55d6-4faf-b279-2322c9e72b61,,2.3326,0.00029,221,126,347,1.0
8c154caf-02a2-41ae-a98c-c18011336dd0,,1.241795,0.0002084,225,74,299,1.0
e8c11e50-5630-48a9-8943-0dedded14fed,,2.046666,0.0003028,221,134,355,1.0
7038a28f-77e2-452b-b77e-c7b0259b876a,,1.571288,0.000226,221,86,307,1.0
18f12ad6-417e-4557-bf35-f2be0f48fa17,,2.52527,0.0002388,209,97,306,1.0
fe6c1143-e91a-4161-a695-a3eb69d0ea40,,2.098192,0.0002868,229,122,351,1.0
2f5bbb94-24bc-4d7d-83f6-73326a0c35a3,,2.295471,0.0003044,217,136,353,1.0
dda07e14-e7a4-4b4e-9b38-778ed9b2f96e,,1.613717,0.0002276,197,93,290,1.0
6d1496aa-8a1e-4ade-9d35-4b711777af34,,1.666277,0.0002556,235,101,336,1.0
181b2e13-fa18-4fd2-8d5b-0f92d75c73ca,,1.722888,0.0002424,222,96,318,1.0
bca8e8ee-fd6f-4d19-80ad-0c4ac9b85a23,,2.448035,0.0003012,229,131,360,1.0
b753d57a-63c5-4cb7-bf67-eaf9118dab28,,1.632319,0.0002116,193,84,277,1.0
efd639b4-76c7-44c5-bb9f-9185e37fe833,,2.050015,0.0002496,228,99,327,1.0
ef4ff129-f5af-41c0-8f71-70934160b49a,,1.879473,0.0002608,252,100,352,1.0
60dfdbc0-ba1c-49c3-ab05-b92b362b88c7,,3.659021,0.0002372,201,98,299,1.0
8625740b-fba7-43f7-b469-7c1774d6169a,,2.05395,0.0002268,199,92,291,1.0
0f560d71-1a8a-4dfa-b4e0-94da2f008a6f,,2.326027,0.0002856,202,128,330,1.0
726e5618-07a5-4681-9133-8ba9e3d2d61b,,1.49702,0.000182,179,69,248,1.0
174cf44d-12f2-4c00-aabc-718f5766366a,,2.702036,0.0003916,259,180,439,1.0
a75442dd-e7f1-41ea-b77c-5d4708e6fef3,,1.65539,0.0002616,218,109,327,1.0
2b749428-ac3b-4611-86a9-174be136c539,,1.592933,0.0002204,187,91,278,1.0
a99d6d7d-a113-41e8-83d8-1597fac044db,,2.013104,0.0002656,212,113,325,1.0
3c62f21f-9eb9-4a75-ae04-2289857b77e2,,2.478677,0.0003168,216,144,360,1.0
a916dc4c-a86e-4f34-aff4-47d4308baaab,,2.780676,0.0002368,200,98,298,1.0
960b2ed1-5a05-4cb2-bca4-46ef2cad18f2,,1.412792,0.0001856,196,67,263,1.0
590d7197-1595-4cfb-b52e-ff6acb9fb1ca,,1.816707,0.0002708,225,113,338,1.0
89ef5510-c977-4b8f-aa12-4486808900cb,,1.902478,0.0002456,206,102,308,1.0
6cfedfc2-851a-44bd-a44d-cb8be91a4d00,,1.866683,0.000286,207,127,334,1.0
17dd244f-21be-4893-b4f4-b4712e0c9972,,1.573915,0.0001892,197,69,266,1.0
7627ecc7-9596-4316-a9bc-2e80c2d13f09,,1.327116,0.0001748,189,62,251,1.0
62f76ee9-1d36-4072-a1cf-2319a54884ff,,1.541332,0.0002212,193,90,283,1.0
4142f523-9768-40ff-8a87-7fd62698e3d1,,2.025376,0.0002688,204,117,321,1.0
70322cba-5321-42cf-bc8e-5c7bffa5f01d,,1.742898,0.0001704,186,60,246,1.0
de4d0695-407a-4bf7-a8b9-b3f5c74c5583,,2.780992,0.000376,220,180,400,1.0
86af56f5-20a6-4024-81a4-f942ce312a98,,2.243622,0.0002824,222,121,343,0.0
56461dd3-ca91-48f9-9560-989e83342584,,2.145437,0.0002688,200,118,318,0.0
8a58f751-df66-4e12-9871-7d2fd4e8dc2c,,4.273083,0.0002936,198,134,332,1.0
c7a3669e-9344-40fa-a0a4-4bd476a1ff7d,,2.467109,0.00022,234,79,313,1.0
55b0e403-9098-4ecd-aa0a-4518607e0631,,2.461486,0.0003464,234,158,392,1.0
ec661c7f-b793-4123-8da4-f3432cd5c388,,1.266108,0.000162,185,55,240,1.0
cb29efca-dcf4-452a-bc97-2001f6c5f8d5,,1.761983,0.0002564,217,106,323,1.0
cefed469-8135-4015-a66f-e10452dba803,,2.245467,0.000248,204,104,308,1.0
4cc2a825-94cf-4dcf-812e-273a2278dd62,,3.534915,0.0003716,197,183,380,1.0
0079fbb6-0249-4a71-808a-40c4b110a825,,1.386735,0.0001796,177,68,245,1.0
0f5cc4af-1828-43da-873d-611d457d5353,,1.669026,0.0002452,213,100,313,1.0
cc0765aa-a170-4725-b083-dab8694704c4,,2.168997,0.0003172,205,147,352,1.0
8a3532fa-3996-47af-a205-c199db7976f5,,2.63418,0.0003344,224,153,377,1.0
d4bb8611-76ec-4552-b278-18e4a7aa1206,,1.631722,0.00021,221,76,297,1.0
69510218-892c-4261-898b-bb8cf60b5f8e,,1.78434,0.0002164,201,85,286,1.0
176ae276-325d-4e5c-9c54-b9aad896175a,,2.701587,0.0003956,253,184,437,0.0
3bc81ecf-bee6-4b19-aaa8-87b30a93d6a5,,2.190454,0.0002968,230,128,358,1.0
d6ee607a-c9ff-4b70-9749-9881b67b671b,,1.710447,0.0002228,201,89,290,1.0
fefef8b8-54bd-4c96-a052-a2f7d12a48be,,1.177486,0.0001576,182,53,235,1.0
4acbeb20-d2cd-488f-9cdf-f7fc74cc28ba,,2.601634,0.0003476,217,163,380,1.0
4b2306f5-d6ea-477c-8dfa-e8ce5b0b8450,,2.127455,0.000238,187,102,289,1.0
e723e3fd-da28-4567-9a26-c579f911fbea,,1.443576,0.0002116,213,79,292,1.0
34237c29-8cbd-4f00-b320-b02e6366e66b,,1.641748,0.0002588,211,109,320,0.0
12e0a4ff-1991-4cf4-8b92-d58fd4c856dd,,1.576019,0.0002008,194,77,271,1.0
