run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
6f877ad0-5379-4f1a-902a-0a32f21af4b4,,1.681544,0.0002032,232,69,301,1.0
9e0a031a-898b-46af-8e17-12afafe85ee2,,1.945407,0.0002208,240,78,318,1.0
9a6bc18d-c5e5-4482-927a-0d392947f7f1,,2.276781,0.0002692,241,108,349,1.0
74e48f96-1277-48bb-869d-07be77df1803,,1.877386,0.0002444,267,86,353,1.0
641fd841-cbb1-49e7-abeb-c811d5122758,,2.427433,0.0002944,268,117,385,1.0
3ef12a03-77aa-4005-ba5e-5155e2d2370a,,1.521463,0.0001984,256,60,316,1.0
3484985d-d5e4-442f-b68a-da9cee008d29,,2.197364,0.0001936,248,59,307,1.0
22a26cb9-3c86-4b7f-b858-69cdde87b969,,1.413495,0.000198,291,51,342,1.0
74bc2f80-17cf-4a0b-8aaa-34dffdd7bf2e,,1.715981,0.000178,253,48,301,1.0
06bdde4e-c479-42b8-a6ab-d90c12f9de95,,2.535009,0.0002988,283,116,399,1.0
5d663d87-f306-4cce-8754-a94465c6b59c,,1.438227,0.0001916,243,59,302,1.0
b2045b5e-8063-4cec-aa41-c81d552cb1ac,,1.757092,0.000192,248,58,306,1.0
e572ac6c-7180-4329-851d-da3421cde22d,,2.340757,0.0002484,249,93,342,1.0
da546b01-1ac5-4808-aece-e69f8e8e9aa0,,1.577453,0.0001616,216,47,263,1.0
129865cd-4c30-45c5-b0ff-a2dcf4f97079,,3.167744,0.0003324,251,145,396,1.0
8f0e9176-a756-47ff-b63a-247170258ddd,,1.391924,0.0001632,216,48,264,1.0
0ddc1c1c-9527-48d7-9748-2b61b18038ab,,1.82421,0.000206,251,66,317,1.0
69c72925-3537-4d75-a40b-081d3fbb31c3,,1.812179,0.0001716,233,49,282,1.0
6450bf8a-8dda-45f1-bda2-7467c4420c02,,2.276604,0.0002224,240,79,319,1.0
ef8a5844-50d7-480d-be49-762a3cda5de8,,1.94836,0.0002176,236,77,313,1.0
86dd1612-e2c0-469a-b19f-e1b692a3fe0c,,1.925718,0.0002068,245,68,313,1.0
9d2ca337-f84a-406c-a887-49bb2c6c9ad6,,1.505753,0.0001676,231,47,278,1.0
9a17a975-a94f-4478-9e1b-61264541636b,,3.059577,0.0002564,233,102,335,1.0
d4e4c4eb-fc71-45ec-995a-3bcd92ae4d76,,1.772996,0.0002364,271,80,351,1.0
160a31a4-fd00-4b23-bb77-ca12ac3c43a0,,2.182104,0.0002276,245,81,326,1.0
9e8f8fd3-9aef-4e50-bbf0-6b7f6217c190,,1.392184,0.0001816,258,49,307,1.0
2574daf2-3035-456d-b7bc-43015e442832,,4.118131,0.0004284,287,196,483,1.0
db6459c1-54d5-4016-a148-9d9310d579ba,,1.621728,0.0001572,217,44,261,1.0
e9f8b185-2b9d-4c84-8946-adbb9d855f00,,1.929117,0.0002056,270,61,331,1.0
e9c8e01a-8b58-4f45-964b-ade6134dae34,,1.676404,0.0002128,260,68,328,1.0
03a783fc-20fb-479b-a31c-83b6a17ec07e,,1.963549,0.0002096,252,68,320,1.0
67b5203f-74bd-4dbc-aaea-03b18650488c,,1.377284,0.0001648,224,47,271,1.0
afd065c3-1dd8-4965-a085-52b7740ae915,,1.368623,0.0001592,234,41,275,1.0
18832e9b-5124-47da-852e-a7fa2dbefa31,,1.931414,0.0001956,253,59,312,1.0
54f63a65-bc06-4486-91db-7dd460a9c227,,1.708245,0.0002088,262,65,327,1.0
c777c948-3a69-4f2c-949b-461e7dd68623,,3.146089,0.0003932,279,176,455,1.0
66edc8f2-7df8-48b6-a89c-0587bdc0fe9d,,1.858203,0.0002256,244,80,324,1.0
c3a0271c-78a2-4899-90ad-d0ca87f904f1,,1.391973,0.0002128,296,59,355,1.0
86b0c0e8-22dd-4c9d-b3e1-05936a1adea4,,2.276719,0.0002672,256,103,359,1.0
