run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
a768247b-3500-4b64-bd14-ce70598046bf,,1.724362,0.0002584,362,71,433,1.0
b3b1b728-9ecc-46fe-b9f8-bf0346bb19ac,,1.404085,0.0002716,499,45,544,1.0
48c92035-501c-45ea-87d0-eec84a99b522,,1.628953,0.0002124,279,63,342,0.0
385b09cf-0a46-4f1a-848e-6cc3571ff1fe,,1.544263,0.0002296,314,65,379,0.0
1659e6ee-488c-493c-ae2f-40d35b68d052,,2.388483,0.000308,362,102,464,0.0
4a2a5aea-1401-4fb9-9f02-8e134e846304,,1.291547,0.0001864,310,39,349,1.0
cb34cc28-0e8e-41a9-bc13-7e05641333c5,,2.01963,0.0003152,472,79,551,1.0
655275c4-4d9f-4ff9-a5ed-f6e94123cfa9,,1.444872,0.0002868,569,37,606,1.0
63d352f0-7222-4f2b-bb69-fea7694d5405,,2.143011,0.0002664,318,87,405,1.0
34e1d71e-b79f-45fa-9f6f-2ca6b2d3400b,,2.336377,0.0002984,342,101,443,1.0
2b50942c-a4b3-4011-bf76-6a65abcb8360,,1.856068,0.0003136,404,95,499,1.0
cd98602e-5944-4d4c-91ed-204bbffb1757,,1.938828,0.0003024,424,83,507,1.0
b9624455-bc57-49d2-ae1e-ae09cf069ded,,1.887483,0.0002628,393,66,459,1.0
295446f2-5c7f-4802-b2c1-46fdac831cd8,,3.314187,0.0003128,374,102,476,1.0
6d2167f5-3de7-4adc-8720-422b5b3ed38e,,1.71993,0.0002676,413,64,477,1.0
54690487-4010-483c-ae2e-c55c57c169d9,,2.979997,0.0002816,324,95,419,1.0
724ab9ff-84ba-438d-8617-5ab3b76e471c,,1.370256,0.000298,557,47,604,1.0
95aeb373-6541-49fe-896e-6aedf9c280b2,,1.498386,0.000192,276,51,327,1.0
8b086c2c-4f4f-4897-9b30-09fd5852fa97,,1.23233,0.0001752,306,33,339,1.0
a917325c-5c74-4942-8a43-eef3d5251fa1,,2.776564,0.000256,296,86,382,1.0
fdf0d0b2-9162-4782-91b2-71b009a4c0a8,,1.595004,0.0003472,704,41,745,0.0
d1ee1b06-120b-4626-b127-964d2a4d0a6c,,1.147821,0.0003012,553,50,603,0.0
e9d72af6-b4f8-45db-a5f7-b4303afeebbc,,2.268138,0.0002976,324,105,429,1.0
ffd55233-2a01-443f-b17a-262d432c65a3,,2.430094,0.0003008,552,50,602,1.0
01d7f599-f72d-456e-81f7-ead6d7a51c9b,,1.931532,0.0002476,343,69,412,1.0
7a050ac2-56e8-4423-ac8c-feb06e1b0dce,,1.439667,0.000262,511,36,547,1.0
082a839d-9ff5-4ab8-b694-169543721ce6,,1.837959,0.0003416,534,80,614,1.0
713ba8d5-708c-43ff-9859-9f0971f145ba,,1.77333,0.0002556,303,84,387,1.0
3a9b2304-588c-45c0-9d98-2f4ab45d8496,,1.087176,0.0001772,315,32,347,1.0
63bc5549-2003-4281-8deb-2d261ff9475c,,1.836074,0.0002904,498,57,555,1.0
483b96a3-ca5e-4bf7-8210-4601c0cdb047,,1.963336,0.0002988,423,81,504,1.0
86369791-2c96-42bf-9589-b40cc307c593,,1.489947,0.0002344,282,76,358,1.0
3b66d29c-93e5-4bf8-9649-2e9236613817,,1.014494,0.0002212,437,29,466,1.0
e0b815b0-545a-49d1-948f-50f29063bac9,,1.27184,0.000182,311,36,347,1.0
9107de9c-556d-4710-999a-11594a910be0,,1.290102,0.0001752,294,36,330,1.0
a0d2a73a-e32b-4417-b7e8-f46840b05843,,2.273407,0.0002488,374,62,436,1.0
d5b57b7a-8779-4916-b31e-5554464e5fa0,,1.932915,0.000252,298,83,381,1.0
1d3841d8-c1d0-498e-944d-3e4f3202f4f3,,1.55959,0.0002352,364,56,420,0.0
14d95716-8bee-41f4-8930-3a93593ca01e,,1.572843,0.0002296,322,63,385,1.0
764ba469-94d6-4a2e-b2f1-ec098eb611b3,,2.124104,0.0002528,240,98,338,1.0
a9ef5170-685e-4bf5-aa73-7e83ded52881,,2.311892,0.000378,525,105,630,1.0
ab487054-56a0-43fe-93bf-19b91bb1ae8d,,2.124261,0.000248,272,87,359,1.0
e86932dd-9135-46a3-9a35-bf5ce62ab06a,,1.968549,0.0002764,347,86,433,1.0
79ec0196-ceba-47f5-b325-1028cf7e9a1b,,3.471715,0.0002816,324,95,419,1.0
5e60f759-4d72-4a31-b280-52cee168695a,,1.736936,0.0002748,327,90,417,1.0
3b2d26cf-8073-4725-8670-8c0905ea6685,,1.789056,0.0002736,344,85,429,1.0
9f90bff5-fa7d-481a-a6dc-1dc644646587,,2.175196,0.0003304,370,114,484,1.0
959e4cb0-d198-4a91-acf4-f3a898654afe,,13.629694,0.0003916,395,146,541,0.0
584e585c-5b96-4b28-8eb5-a21146233f31,,1.713451,0.0002604,275,94,369,1.0
1b119ecc-8f85-46c4-abc2-f84d5d9a44f0,,1.864273,0.0003612,519,96,615,1.0
