run_id,error,latency_sec,total_cost,input_tokens,output_tokens,total_tokens,is_correct
eb3ff841-eb94-44e7-9e51-d6bd017754d9,,3.752059,0.0002732,139,136,275,0.0
a6619972-9aa3-4d2c-ad45-1745a4c2c5ff,,4.807726,0.0004544,124,253,377,1.0
e70689f8-9efd-4b4e-908e-0c10805baf56,,3.46293,0.0003208,154,162,316,1.0
d6a5f154-d977-4947-b832-3e6027d6286e,,5.948651,0.0005224,170,284,454,1.0
46e0d125-69fc-4386-9b4f-26f3dd61c214,,3.28463,0.0003016,150,151,301,1.0
4622b2df-3e86-49aa-851a-33dcd9519656,,3.523911,0.0003368,134,177,311,0.0
271a76c3-6cd4-46bd-b985-d8d8ce2bddca,,4.84584,0.000296,124,154,278,1.0
9250874c-9908-41af-a1d2-7d42ee81ff87,,4.77193,0.0004404,145,239,384,1.0
d0d195bb-458c-4640-92a7-b69dbb92043f,,7.971507,0.0004648,118,261,379,1.0
1ddabba8-8641-4558-9970-afc9831209f8,,4.209305,0.0003412,137,179,316,0.0
d66db6c9-5eda-4dbe-b51c-fe8e3a0ea490,,6.693189,0.0006164,161,345,506,0.0
9a8f5342-a7ac-415b-b423-de0607899afd,,4.254247,0.0003232,128,170,298,1.0
4f960e70-e382-4236-a667-8086e456a2ed,,3.849974,0.000294,127,152,279,1.0
49cf0522-6495-45b4-9be4-0987d24b8ba9,,8.327437,0.0003544,242,161,403,1.0
424dd0c2-4fd7-439d-931e-133bba6061a8,,7.353012,0.00065,125,375,500,0.0
72214765-b0d0-449c-a941-4e185cd9e6c0,,8.511002,0.0006888,198,381,579,0.0
d2341b52-13ca-4791-9f8d-089dcca5a72a,,7.775022,0.0005672,162,314,476,0.0
f13caac6-041e-4145-a523-4cb819367e3d,,8.364009,0.0006496,168,364,532,1.0
81cbf612-e870-46fc-aed2-08fad6ada36e,,4.588325,0.0004172,163,220,383,1.0
fd189b2e-e9d1-459d-9322-b387dfef4983,,5.50042,0.0004888,150,268,418,0.0
b88bc614-6e93-4839-b573-c91772117227,,10.060646,0.000786,165,450,615,0.0
9360d02b-9b88-442c-9bfd-30203aae8e4f,,5.029691,0.0004532,153,245,398,1.0
62d7ce07-110f-4264-8454-ef4de4fd7171,,3.451236,0.0002716,119,140,259,1.0
172032e0-59db-4441-8860-017daa7cd36b,,5.67908,0.0003632,116,198,314,0.0
67cf20af-e402-45c5-bf2b-ae9dc4ad8287,,8.788262,0.000624,184,344,528,1.0
8604455a-eaef-47d8-8cbb-9283563fa836,,3.965891,0.0003636,153,189,342,1.0
0f2ab3f1-76fe-4115-81b5-206999b18dc4,,5.364304,0.0005336,182,288,470,1.0
43d59f49-b4a7-47e8-8244-2e066f7f7af3,,4.084858,0.0003088,164,152,316,1.0
197ad56e-9267-4f2d-9125-f7673c6f199a,,2.821841,0.0003196,147,163,310,1.0
c4c8f380-a90e-454f-8f74-283573b41444,,7.394007,0.0005212,143,290,433,1.0
03a2361d-5577-4add-af0d-1f692a67141f,,5.505357,0.0003928,158,206,364,1.0
7d3613ba-db22-4e13-95b5-6908c4008d71,,2.775513,0.000272,168,128,296,1.0
2c1f3ec3-4d21-4fb4-8341-93c776922e0a,,4.317035,0.0004376,142,238,380,1.0
3ac8db4b-397f-4084-ac07-8a5a7b067caa,,8.233519,0.0005792,124,331,455,0.0
de089924-1df6-47fe-879e-1bcbcc0abddc,,4.921868,0.0004216,122,233,355,0.0
00b33082-2c53-4758-9d17-9a970c6fe333,,2.964494,0.000268,150,130,280,1.0
1ab69285-776f-43b1-b71f-84d0cccef3bf,,4.915417,0.0002956,143,149,292,1.0
a7cc67ec-9200-450f-b4b2-4c7843ee1d82,,8.230954,0.000682,181,381,562,0.0
a7826f06-cea9-48bb-8671-b47735738a56,,9.308687,0.0003492,153,180,333,1.0
9d15db3f-c9ae-40db-aa54-e247e2fba8c9,,8.029646,0.00054,166,296,462,0.0
a751f433-b7b7-414e-8035-919b696b92d2,,6.052751,0.000488,168,263,431,1.0
fee91e4e-f55d-4c20-ba13-9ab7265eca3e,,4.229681,0.0003016,138,154,292,1.0
ee7e9822-1d29-47c8-881d-292b5eef5139,,3.662607,0.0004472,150,242,392,1.0
7c322d80-ec87-4ea4-ae31-a65f9806fc13,,4.870849,0.0005296,152,293,445,1.0
226d4f3c-cc8b-4bfe-a5a2-0f30af793473,,3.668846,0.0003084,119,163,282,1.0
cb4e424c-291e-4743-9e61-796056679916,,5.917918,0.0005592,158,310,468,0.0
2f4bbe08-314d-428e-9fe1-17b083779c7f,,3.884708,0.0002504,130,124,254,0.0
734b6075-090d-4a8a-b63f-212619bf29d6,,3.131233,0.0003056,140,156,296,1.0
f4a3196d-b7d2-4aa5-9ddc-40ca39e3fe5c,,7.101982,0.0005684,181,310,491,1.0
c3f84639-4a4c-42ed-8a12-e09321fd5c20,,8.389464,0.0006544,156,370,526,1.0
